icon
sap-icon://account
sap-icon://accounting-document-verification
sap-icon://action
sap-icon://action-settings
sap-icon://activate
sap-icon://activities
sap-icon://activity-2
sap-icon://activity-assigned-to-goal
sap-icon://activity-individual
sap-icon://add
sap-icon://add-activity
sap-icon://add-coursebook
sap-icon://add-document
sap-icon://add-equipment
sap-icon://add-favorite
sap-icon://add-filter
sap-icon://add-photo
sap-icon://add-process
sap-icon://add-product
sap-icon://address-book
sap-icon://addresses
sap-icon://alert
sap-icon://alert-group
sap-icon://alert-modifier
sap-icon://along-stacked-chart
sap-icon://alphabetical-order
sap-icon://appointment
sap-icon://appointment-2
sap-icon://approvals
sap-icon://area-chart
sap-icon://arobase
sap-icon://arrow-bottom
sap-icon://arrow-down
sap-icon://arrow-left
sap-icon://arrow-right
sap-icon://arrow-top
sap-icon://attachment
sap-icon://attachment-audio
sap-icon://attachment-e-pub
sap-icon://attachment-html
sap-icon://attachment-photo
sap-icon://attachment-text-file
sap-icon://attachment-video
sap-icon://back-to-top
sap-icon://background
sap-icon://badge
sap-icon://bar-chart
sap-icon://bar-code
sap-icon://basket
sap-icon://batch-payments
sap-icon://bbyd-active-sales
sap-icon://bbyd-dashboard
sap-icon://bed
sap-icon://begin
sap-icon://bell
sap-icon://blank-tag
sap-icon://blank-tag-2
sap-icon://bo-strategy-management
sap-icon://bold-text
sap-icon://bookmark
sap-icon://border
sap-icon://broken-link
sap-icon://bubble-chart
sap-icon://building
sap-icon://bullet-text
sap-icon://burglary
sap-icon://bus-public-transport
sap-icon://business-by-design
sap-icon://business-card
sap-icon://business-objects-experience
sap-icon://business-objects-explorer
sap-icon://business-objects-mobile
sap-icon://business-one
sap-icon://calendar
sap-icon://calendar-add
sap-icon://calendar-day
sap-icon://calendar-settings
sap-icon://calendar-triangle
sap-icon://call
sap-icon://camera
sap-icon://cancel
sap-icon://cancel-maintenance
sap-icon://cancel-share
sap-icon://capital-projects
sap-icon://car-rental
sap-icon://card
sap-icon://cargo-train
sap-icon://cart
sap-icon://cart-2
sap-icon://cart-3
sap-icon://cart-4
sap-icon://cart-5
sap-icon://cart-approval
sap-icon://cart-full
sap-icon://cause
sap-icon://chain-link
sap-icon://chalkboard
sap-icon://chart-axis
sap-icon://chart-table-view
sap-icon://check-availability
sap-icon://checklist
sap-icon://checklist-2
sap-icon://checklist-item
sap-icon://chevron-phase
sap-icon://chevron-phase-2
sap-icon://choropleth-chart
sap-icon://circle-task
sap-icon://circle-task-2
sap-icon://citizen-connect
sap-icon://clear-filter
sap-icon://clinical-order
sap-icon://clinical-tast-tracker
sap-icon://close-command-field
sap-icon://cloud
sap-icon://co
sap-icon://co2
sap-icon://collaborate
sap-icon://collapse
sap-icon://collapse-group
sap-icon://collections-insight
sap-icon://collections-management
sap-icon://collision
sap-icon://color-fill
sap-icon://column-chart-dual-axis
sap-icon://comment
sap-icon://commission-check
sap-icon://company-view
sap-icon://compare
sap-icon://competitor
sap-icon://complete
sap-icon://connected
sap-icon://contacts
sap-icon://container-loading
sap-icon://content-enricher
sap-icon://content-not-found
sap-icon://content-view
sap-icon://context-menu
sap-icon://continuous-task
sap-icon://contract
sap-icon://contract-2
sap-icon://contract-account
sap-icon://contract-document
sap-icon://contract-template
sap-icon://contrast
sap-icon://copy
sap-icon://course-book
sap-icon://course-program
sap-icon://create
sap-icon://create-entry-time
sap-icon://create-form
sap-icon://create-leave-request
sap-icon://create-session
sap-icon://credit-card
sap-icon://crm-sales
sap-icon://crm-service-manager
sap-icon://crop
sap-icon://crossed-line-chart
sap-icon://curriculum
sap-icon://cursor-arrow
sap-icon://customer
sap-icon://customer-and-contacts
sap-icon://customer-and-supplier
sap-icon://customer-briefing
